A200,Mercedes,Hatchback,Nhập khẩu,1.339,1.312,1.6 I4,154,250
A250,Mercedes,Hatchback,Nhập khẩu,1.699,1.665,2.0 I4,208,350
A250 Motorsport Edition,Mercedes,Hatchback,Nhập khẩu,1.958,1.941,2.0 I4,208,350
A45 AMG,Mercedes,Hatchback,Nhập khẩu,2.249,2.204,2.0 I4,381,475
C200,Mercedes,Sedan,Lắp ráp,1.479,1.449,2.0 I4,181,300
C250,Mercedes,Sedan,Lắp ráp,1.679,1.632,2.0 I4,208,350
C300 AMG,Mercedes,Sedan,Lắp ráp,1.889,1.889,2.0 I4,241,370
C300 Coupe,Mercedes,Coupe,Lắp ráp,2.699,2.645,2.0 I4,241,370
CLA200,Mercedes,Coupe 4 cửa,Nhập khẩu,1.529,1.529,1.6 I4,154,250
CLA250,Mercedes,Coupe 4 cửa,Nhập khẩu,1.869,1.869,2.0 I4,208,350
E200,Mercedes,Sedan,Lắp ráp,2.099,2.092,2.0 I4,184,300
E300 AMG,Mercedes,Sedan,Nhập khẩu,3.049,3.049,2.0 I4,245,370
GLA200,Mercedes,SUV,Nhập khẩu,1.519,1.519,1.6 I4,154,250
GLA250 4Matic,Mercedes,SUV,Nhập khẩu,1.749,1.71,2.0 I4,208,350
GLA45 AMG 4Matic,Mercedes,SUV,Nhập khẩu,2.279,2.256,2.0 I4,355,450
GLC250 4Matic,Mercedes,SUV,Lắp ráp,1.789,1.789,2.0 I4,211,350
GLC300 4Matic,Mercedes,SUV,Lắp ráp,2.039,2.039,2.0 I4,245,370
GLE400 4Matic,Mercedes,SUV,Nhập khẩu,3.599,3.527,3.0 V6,329,480
GLE400 4Matic Coupe,Mercedes,SUV-Coupe,Nhập khẩu,3.999,3.821,3.0 V6,329,480
GLE450 AMG 4Matic Coupe,Mercedes,SUV-Coupe,Nhập khẩu,4.469,4.379,3.0 V6,362,520
GLS 350d 4Matic,Mercedes,SUV,Nhập khẩu,4.029,3.995,3.0 V6,190,620
GLS400 4Matic,Mercedes,SUV,Nhập khẩu,4.399,4.399,3.0 V6,328,480
GLS500 4Matic,Mercedes,SUV,Nhập khẩu,7.829,7.829,4.7 V8,455,700
GLS63 AMG 4 Matic,Mercedes,SUV,Nhập khẩu,11.949,11.906,5.5 V8,585,760
Mercedes-Maybach S600,Mercedes,Sedan,Nhập khẩu,14.169,13.885,6.0 V12,523,830
S400L,Mercedes,Sedan,Lắp ráp,3.939,3.895,3.0 V6,329,480
S500 4Matic Coupe,Mercedes,Coupe,Nhập khẩu,10.479,10.415,4.7 V8,449,700
S500 Cabriolet,Mercedes,Convertible,Nhập khẩu,10.799,10.726,4.7 V8,455,700
S500L,Mercedes,Sedan,Lắp ráp,6.539,6.505,4.7 V8,449,700
SL400,Mercedes,Convertible,Nhập khẩu,6.709,6.574,3.0 V6,367,500
SLC43 AMG,Mercedes,Convertible,Nhập khẩu,3.619,3.546,3.0 V6,367,520
V220d Avantgarde,Mercedes,MPV,Nhập khẩu,2.569,2.569,2.1 I4,163,380
V250 Advantgarde,Mercedes,MPV,Nhập khẩu,2.569,2.569,2.0 I4,211,350
Vito Tourer 121,Mercedes,MPV,Nhập khẩu,1.849,1.849,2.0 I4,211,350
Accord,Honda,Sedan,Nhập khẩu,1.39,1.375,2.4 I4 i-VTEC,173,225
City 1.5AT,Honda,Sedan,Lắp ráp,583,564,1.5 I4 i-VTEC,118,145
City 1.5MT,Honda,Sedan,Lắp ráp,533,518,1.5 I4 i-VTEC,118,145
Civic 1.5 Turbo,Honda,Sedan,Nhập khẩu,950,932,1.5 I4 Turbo,170,220
CR-V 2.0AT,Honda,SUV,Lắp ráp,1.008,954,2.0 I4 i-VTEC,153,190
CR-V 2.4AT,Honda,SUV,Lắp ráp,1.158,1.102,2.4 I4 i-VTEC,188,222
Odyssey,Honda,MPV,Nhập khẩu,1.99,1.95,2.4 I4 i-VTEC,173,255
